Model,pass@1_base,pass@1_plus,prompted,OD,link
Vicuna-7B,11.6,11.6,False,Partial,https://lmsys.org/blog/2023-03-30-vicuna/
Vicuna-13B,17.1,15.9,False,Partial,https://lmsys.org/blog/2023-03-30-vicuna/
SantaCoder-1.1B,14.6,14.0,False,Full,https://arxiv.org/abs/2301.03988
InCoder-1.3B,12.2,11.0,False,Full,https://arxiv.org/abs/2204.05999
InCoder-6.7B,15.9,12.2,False,Full,https://arxiv.org/abs/2204.05999
GPT-J-6B,12.2,11.0,False,Full,https://www.eleuther.ai/artifacts/gpt-j
GPT-Neo-2.7B,7.9,6.7,False,Full,https://www.eleuther.ai/artifacts/gpt-neo
PolyCoder-2.7B,6.1,6.1,False,Full,https://github.com/VHellendoorn/Code-LMs
StableLM-7B,2.4,2.4,False,NONE,https://huggingface.co/stabilityai/stablelm-base-alpha-7b
Magicoder-S-CL-7B,70.7,66.5,True,Partial,https://huggingface.co/ise-uiuc/Magicoder-S-CL-7B
Magicoder-S-DS-6.7B,76.8,70.7,True,Partial,https://huggingface.co/ise-uiuc/Magicoder-S-DS-6.7B
dolphin-2.6-mixtral-8x7b,64.0,57.3,True,Partial,https://huggingface.co/cognitivecomputations/dolphin-2.6-mixtral-8x7b
MistralHermes-CodePro-7B-v1,47.6,42.1,True,Partial,https://huggingface.co/beowolx/MistralHermes-CodePro-7B-v1
phi-2-2.7B,48.8,45.1,False,NONE,https://huggingface.co/microsoft/phi-2
SOLAR-10.7B-Instruct-v1.0,42.1,35.4,True,Partial,https://huggingface.co/upstage/SOLAR-10.7B-Instruct-v1.0
WizardCoder-33B-V1.1,79.9,73.2,True,NONE,https://huggingface.co/WizardLM/WizardCoder-33B-V1.1
OpenChat-3.5-7B-0106,72.0,67.1,True,Partial,https://huggingface.co/openchat/openchat-3.5-0106
speechless-codellama-34B-v2.0,77.4,71.3,True,Partial,https://huggingface.co/uukuguy/speechless-codellama-34b-v2.0
speechless-code-mistral-7B-v1.0,48.2,40.9,True,Partial,https://huggingface.co/uukuguy/speechless-code-mistral-7b-v1.0
speechless-coder-ds-6.7B,71.3,64.6,True,Partial,https://huggingface.co/uukuguy/speechless-coder-ds-6.7b
speechless-coding-7B-16k-tora,54.9,49.4,True,Partial,https://huggingface.co/uukuguy/speechless-coding-7b-16k-tora
code-millenials-34B,74.4,70.1,True,NONE,https://huggingface.co/budecosystem/code-millenials-34b
Code-13B,56.1,51.8,True,Partial,https://huggingface.co/ajibawa-2023/Code-13B
Code-33B,54.9,49.4,True,Partial,https://huggingface.co/ajibawa-2023/Code-33B
Python-Code-13B,32.9,30.5,True,Partial,https://huggingface.co/ajibawa-2023/Python-Code-13B
xDAN-L1-Chat-RL-v1-7B,40.2,33.5,True,Partial,https://huggingface.co/xDAN-AI/xDAN-L1-Chat-RL-v1
XwinCoder-34B,75.6,67.7,True,NONE,https://huggingface.co/Xwin-LM/XwinCoder-34B
stable-code-3B,28.7,25.6,False,Full,https://huggingface.co/stabilityai/stable-code-3b
zyte-1B,2.4,1.8,True,Partial,https://huggingface.co/aihub-app/zyte-1B
WhiteRabbitNeo-33B-v1,72.0,62.5,True,NONE,https://huggingface.co/WhiteRabbitNeo/WhiteRabbitNeo-33B-v1
